id,title,imdb_index,kind_id,production_year,imdb_id,phonetic_code,episode_of_id,season_nr,episode_nr,series_years,md5sum
1,ysjhsmjjhbwfwdxfyxwzboirfcefmftohacuejnvrhjkxjbbcwegiqykkrgyppjzgjponaguhjmrfohwuamsdfnaybfhoudpryofcemfoztfzunchxznlfaywrugmgjxkueqssapcmvmyirphnqzgcagyclzwoyiicqzaribjnnrdoviiyhdgcrbqmubrlgigoygdccs,mnvjmeuaclbf,696,273,875,ixlwx,1000,292,107,bdkwpokibzragytevxdbqpfjdjkdrclcgagizqtxxebxojyvn,tnzofekqantfanoojawabjrckjkkzigu
2,zuebriebsafvhskeogjzjtpmwyytcndkltcwcevdljvirxzxrggixqnsnikmlgggksgccizatwemuiqhoimkgzycaorivsewzmplkimdlapjmzqnseujnjaudgcpgxwqvhtmpxrinxsjstwldsphobjqxrqpbgjqnctfbllbhubyyqqugolgkojvvesesvveyntivhuz,jgbpbwciyrlq,818,927,601,phezi,293,661,443,ezhzgzcrylkmupaaxdpyxmmjwthsnibfliqrfxhvfglsmqpma,ptcnvwykeadojbmhlicsafbvjkkfdmor
3,ausvcnwnddbbpdfvpzusbqlxinvsfrswbjltvgtsgbbzywlmnmraacrgepdmlzazwssoqmtchmhjspgqxgzcloslvnhbkqxohohaajexbkpauqwkuiuzcwnqvuegnfboxfnvtnwtrpnluvsweepxojhvwzjidqlivcqufjebdurgbxtrgxndoxsniydkwosefuosjylm,kzamxohpzcek,460,311,409,lqkxx,966,70,476,jseteldvradoyhugqfjkjnjlwbathvkglhucawxurjhecmbnh,ulxifweediheyeyxzsdthrrbdfdksauh
4,uuzjocutpphiyqrsqdnpsiytgdigcpvxsbshtxonmjvjyvfzemmyrlisoqeaukpnkeekpymnhluaemxtsnlfaivofpjrrxdkqyzwhcsfajershtccphrbsdxsowektftgmmntrepugzkealnvdkqhjdtkjogfmpjsgqbtnglcpcsntkxsifmradcbmznlqfzlpcmrxkd,afjpvgfjhjxl,38,976,316,vjfxx,394,999,955,msvlhzotfpwyghkupzkclukpaxhxuftuqsgzxmikzuaauvnha,nskusboajeourmwpvkgbifmpdczktila
5,dzlvgpopltbdzbmaglupsiegbkvdwewgbxqmaqatkctmleozacjhkxbztozqrkwlblkzzknbcixhkbnvlqleeviddtuspbmnkisfwgoiycvwfobfbucoywkqhxrkmtbnvacamrwppuwygywbvlczejyvulrheejqsqzcfcdysceigmnvzflwqylbxtmmhfravebmjykv,pxcxrkbwaxfu,20,439,1000,vlfsz,651,502,817,nmanrsnotxejbknyxkmkxhdgsbveqpaxoryqnkgtvuvckqole,ltyhedgbtccjudcxusbvayvoflxiqawc
6,ccojzozyaftuvwyihuujhdklbshbkuccgdfbeohtmtdfwouvnbwilstjqfbilxcboaxifjyeulmovnwpdhiohuzipvyifgqpevltwbvjsxvuafynzkglkneabzyynjbzrlguhqvmlirzytelacrmbypatosygmdjiztbrtrmuxidwbqdlboulbyhfwrlulbidendjbhe,dgfadlqgljlp,759,94,570,jtayg,930,640,481,fcfjvsakoqqlvlrvcxnmfiswkilgwqsyyrzqioxeciaguiwyx,diccwbqlsgnfjswprwvtcwmeyqnrwgxc
7,ndzjncpnvydtqlyilasvsoladpakxdalapcnljyxrjnmkhdilcfwwlxlnncxwxlgduhvcvrtfrzcdumbueuliaofbhqggybgyrlyemspcavufekdebjqfxfyidbhsrlyqytgroynuyroifigpqmstulwzafyuswupqcwfbkykohskbjstqsgkakyuohnsatssyswodbj,iwbivhxrvfiy,761,164,343,ydpzg,108,504,910,gkgagnjwoppfbicudtfdxixdcxkftzwhqqluxnagqamfsyrbp,bytbwbahfqjryecjookwvzybhoblxyzr
8,qoidslcriiafcnxmgimsnrimrlubowndvqwlqjwfueppkkuwobztyrhhkvrxpcoxuswlvhulcuakpwufiefgrvypdgbdsubfbiwreiyyzrqrzzlzbsfzdvraccuzarykbiwwqzbgioxsabwxvmtfpdejadtzzeahtdytymmbfhxjfsindlaxfbvndzrkyawthnusmqew,mrpbfrmhwutu,228,198,588,zrmtv,972,974,485,ftjxfdlnqmcfkqlqlniknwraqdfhiwtivhkrjgtgkpoajaprb,cclplpzwyughveedseklzwugkorwxdbt
9,gativpyzbjvptgaaitjlqkgwdeuqpwnwsqhtrxnjyjhruhqtevcdqkqiwmhewuqpeaxyhitzoczrqbnjjselnbmfcvphnxiudnndgbwazhkbxbmjhsetssntryuwtzqeaejkrbxvxdbmzyqqkjphozlohctboeeuvzxbgrkjodjhxcmsvesyzgpetchdurhzzfqesvhm,tqgrhkvsbbvl,888,792,885,voihf,684,208,811,ehwqwfvupadbmvvemwcvamrgteppmaueisjhjanwjaswovfcl,glenwarwswxdcpirhzddnpllwjtyzobj
10,vxxwetedmulhfsxmjnsmpvfamexsbensxjxjghcyirikahjfpqxdbttvclruiymuofgukehgfkqtxaddnrlqjlyutbpzzeuiggqczarhhwfqlaiiqckxidypqylvsngnznxdrvrhebxjbtvwimdxoaiysnybajvnjvatinerpmymvmoxfsspjlgatqsbkbukrifapnwn,gxjgclvrlvrl,830,707,240,spldx,489,383,546,uotykslfkuuhqkafpqdechyxjggqyuspjwsrarwxlbyzuyiyk,myysjnmyqqpleundtuzynloorfjcyxqc
